position,linear_position,horizontal_position,detector,slot,pixel_number,predicted_offset_mm,well_centered
1,32.819,0.455,lower,R1C1,1038,1.35,True
1,32.819,0.455,lower,R2C1,1086,2.5,True
1,32.819,0.455,lower,R2C2,1100,4.2,False
1,32.819,0.455,upper,R1C1,74,4.13,False
1,32.819,0.455,upper,R1C2,77,3.78,False
1,32.819,0.455,upper,R1C3,81,3.2,False
1,32.819,0.455,upper,R2C1,37,4.39,False
1,32.819,0.455,upper,R2C2,30,3.55,False
2,32.519,0.105,lower,R1C1,1048,3.79,False
2,32.519,0.105,lower,R1C2,1052,0.3,True
2,32.519,0.105,lower,R2C1,1095,2.3,True
2,32.519,0.105,lower,R2C2,1099,2.48,True
2,32.519,0.105,lower,R2C3,1102,4.15,False
2,32.519,0.105,upper,R1C1,60,2.12,True
2,32.519,0.105,upper,R1C2,64,1.66,True
2,32.519,0.105,upper,R1C3,68,2.12,True
2,32.519,0.105,upper,R2C1,26,3.51,False
2,32.519,0.105,upper,R2C2,20,1.83,True
3,33.319,0.405,lower,R1C1,1027,3.54,False
3,33.319,0.405,lower,R1C2,1031,1.37,True
3,33.319,0.405,lower,R2C1,1074,2.27,True
3,33.319,0.405,lower,R2C2,1078,1.64,True
3,33.319,0.405,lower,R2C3,1081,3.04,False
3,33.319,0.405,upper,R1C1,85,2.0,True
3,33.319,0.405,upper,R1C2,89,2.32,True
3,33.319,0.405,upper,R2C2,41,2.55,True
4,33.319,-0.495,lower,R1C2,1028,2.11,True
4,33.319,-0.495,lower,R1C3,1032,3.42,False
4,33.319,-0.495,lower,R2C2,1075,4.14,False
4,33.319,-0.495,lower,R2C3,1079,3.07,False
4,33.319,-0.495,upper,R1C2,86,2.07,True
4,33.319,-0.495,upper,R1C3,90,1.77,True
4,33.319,-0.495,upper,R2C2,38,1.92,True
4,33.319,-0.495,upper,R2C3,54,1.36,True
5,32.919,-0.295,lower,R1C1,1036,3.49,False
5,32.919,-0.295,lower,R1C2,1039,2.79,False
5,32.919,-0.295,lower,R1C3,1043,3.04,False
5,32.919,-0.295,lower,R2C1,1084,4.4,False
5,32.919,-0.295,lower,R2C3,1091,2.49,True
5,32.919,-0.295,upper,R1C2,75,2.43,True
5,32.919,-0.295,upper,R1C3,79,1.97,True
5,32.919,-0.295,upper,R2C2,28,2.23,True
5,32.919,-0.295,upper,R2C3,43,1.01,True
6,32.469,-0.495,lower,R1C1,1047,3.75,False
6,32.469,-0.495,lower,R1C2,1050,2.55,True
6,32.469,-0.495,lower,R1C3,1066,4.37,False
6,32.469,-0.495,lower,R2C2,1107,4.18,False
6,32.469,-0.495,lower,R2C3,1101,4.02,False
6,32.469,-0.495,upper,R1C2,62,1.31,True
6,32.469,-0.495,upper,R1C3,66,0.87,True
6,32.469,-0.495,upper,R2C2,18,1.11,True
6,32.469,-0.495,upper,R2C3,32,2.09,True
7,32.119,0.205,lower,R1C1,1061,2.39,True
7,32.119,0.205,lower,R1C2,1065,2.23,True
7,32.119,0.205,lower,R1C3,1068,3.65,False
