position,linear_position,horizontal_position,pixels_upper,pixels_lower
1,32.819,0.455,5,3
2,32.519,0.105,5,5
3,33.319,0.405,3,5
4,33.319,-0.495,4,4
5,32.919,-0.295,4,5
6,32.469,-0.495,4,5
7,32.119,0.205,4,5
8,34.119,-0.145,5,3
9,33.319,0.155,6,4
10,32.919,0.255,5,5
11,33.369,-0.195,5,5
12,32.469,0.455,5,4
13,33.719,-0.295,5,4
14,33.669,-0.095,3,4
15,32.819,-0.095,4,5
16,34.019,0.405,5,5
17,33.669,0.255,3,5
18,33.019,0.105,5,3
19,32.569,-0.195,5,4
20,33.769,-0.495,3,5
21,33.319,0.005,6,6
22,34.069,-0.495,4,3
23,34.069,0.055,2,4
24,32.169,-0.045,4,4
25,32.969,-0.495,2,4
26,32.719,0.205,4,5
27,33.619,0.455,5,3
28,32.569,-0.495,4,4
29,32.019,-0.245,4,3
